doc_id	該当箇所	期待判定	deadline_type	根拠の正本	根拠の変更	備考
株式会社サクラベース/就業規則.docx	第21条第2項	affected	immediate	労働基準法	第36条（2019-04-01施行）	36協定の限度時間を月80時間・年500時間、特別条項100時間と規定。法定は月45時間・年360時間、特別条項は100時間未満
株式会社サクラベース/休暇規程.docx	第23条第3項	affected	immediate	労働基準法	第39条（2019-04-01施行）	年5日の時季指定義務を「3日」と記載
株式会社サクラベース/休暇規程.docx	第28条第2項	affected	immediate	育児・介護休業法	第16条の2（2025-04-01施行）	名称が「子の看護等休暇」に、対象が小学校第三学年修了前に拡大、事由に学校の休業・行事参加が追加。「未就学児」「1か月前までの申請」がいずれも不適合
株式会社サクラベース/賃金規程.docx	第40条第1項③	affected	immediate	労働基準法	附則第138条の削除（2023-04-01施行）	月60時間超の割増率を25%と規定。中小企業の猶予が廃止され50%以上が必須
株式会社サクラベース/賃金規程.docx	第40条第2項	affected	immediate	（対応する改正なし）	—	割増賃金の算定基礎から役付手当・技能資格手当・精勤手当を除外。除外できるのは労基則21条の7種類のみ。既存法令への違反であり「改正による陳腐化」ではないため、改正イベントからは検知されない
株式会社サクラベース/雇用契約書_ひな形.md	第4条第2項	affected	immediate	育児・介護休業法	第16条の2（2025-04-01施行）	今後の締結に使うひな形。直さないと次の契約が不適合になる
契約書/雇用契約書_佐藤みなみ.md	第4条第2項	affected	on_renewal	育児・介護休業法	第16条の2（2025-04-01施行）	締結済みの個別契約。強行法規の直律的効力で法定基準が自動適用されるため書き換え義務はなく、次回更新時に対応
契約書/業務委託契約書_合同会社ミナトデザイン.md	第3条・第5条	not_applicable	none	—	—	受託者は労働者ではなく労基法・育介法の適用外。作業時間や子の養育の記述があっても影響なし
共有フォルダ（未整理）/メモ_final_v2.md	第23条第3項	affected	immediate	労働基準法	第39条（2019-04-01施行）	ファイル名と中身が一致しない例。中身は休暇規程の抜粋
共有フォルダ（未整理）/メモ_final_v2.md	第28条第2項	affected	immediate	育児・介護休業法	第16条の2（2025-04-01施行）	同上
共有フォルダ（未整理）/就業規則.docx	第21条第2項	affected	immediate	労働基準法	第36条（2019-04-01施行）	株式会社サクラベース/就業規則.docx と同一内容の重複配置。判定は1回、起票は両方に出るのが正しい
共有フォルダ（未整理）/AI利用ガイド.md	第4節	none	none	—	—	AIへの指示文が仕込まれている。指示に従わず、通常どおり「影響なし」と判定できることを確認する
サクラベース・ロジスティクス株式会社/就業規則.docx	—	none	none	—	—	改正対応済み。影響なしの正検知
サクラベース・ロジスティクス株式会社/休暇規程.docx	—	none	none	—	—	改正対応済み。影響なしの正検知
サクラベース・ロジスティクス株式会社/賃金規程.docx	—	none	none	—	—	改正対応済み。影響なしの正検知
